Difficulty,Title,Frequency,Link,Topics
MEDIUM,Rotate Image,56.8,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Jump Game II,56.8,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Longest Repeating Character Replacement,56.8,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
MEDIUM,Kth Largest Element in an Array,55.0,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Best Time to Buy and Sell Stock II,55.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
HARD,Word Search II,55.0,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Reverse Integer,55.0,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Unique Paths,55.0,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Subarray Sum Equals K,55.0,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Valid Sudoku,53.0,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Spiral Matrix,53.0,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
HARD,Basic Calculator,53.0,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
MEDIUM,Next Permutation,53.0,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
EASY,Majority Element,53.0,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
MEDIUM,Jump Game,50.8,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
HARD,Serialize and Deserialize Binary Tree,50.8,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
EASY,Longest Common Prefix,50.8,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
HARD,Sliding Window Maximum,50.8,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
MEDIUM,Next Greater Element II,50.8,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
MEDIUM,Word Break,50.8,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
MEDIUM,Integer to Roman,50.8,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
EASY,Missing Number,50.8,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
MEDIUM,Binary Tree Zigzag Level Order Traversal,50.8,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,Asteroid Collision,50.8,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Integer to English Words,48.4,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
EASY,Valid Anagram,48.4,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Move Zeroes,48.4,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Single Number,48.4,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
EASY,Next Greater Element I,48.4,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
EASY,Create Hello World Function,48.4,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Number of Provinces,45.6,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
HARD,Regular Expression Matching,45.6,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,K Closest Points to Origin,45.6,https://leetcode.com/problems/k-closest-points-to-origin,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
EASY,Roman to Integer,45.6,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
HARD,Reverse Nodes in k-Group,45.6,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
EASY,Fizz Buzz,42.4,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
EASY,Plus One,42.4,https://leetcode.com/problems/plus-one,"Array, Math"
MEDIUM,Sort Colors,42.4,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Daily Temperatures,42.4,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
HARD,Largest Rectangle in Histogram,42.4,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
MEDIUM,Binary Tree Level Order Traversal,42.4,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
MEDIUM,"Pow(x, n)",42.4,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,4Sum,42.4,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
EASY,Pascal's Triangle,38.6,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Remove Duplicates from Sorted Array,38.6,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Evaluate Reverse Polish Notation,38.6,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
EASY,First Unique Character in a String,38.6,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
